 ciudadmexid | estadomexid | claveciudadmex |                  nombreciudadmex                   | claveconapo | ?column? |                  ?column?                  | ?column? 
        2195 |          30 | 2195           | NOGALES                                            | 301150001   | 3743003  | NOGALES                                    |        2
        2201 |          30 | 2201           | OZULUAMA DE MASCAREÑAS                             | 301210001   |          |                                            |        0
        2203 |          30 | 2203           | PANUCO                                             | 301230001   | 1141001  | PANUCO DE CORONADO MUNICIPIO DE            |        4
        2209 |          30 | 2209           | PLAYA VICENTE                                      | 301300001   | 4231004  | PLAYA VICENTE MUNICIPIO DE                 |        2
        2217 |          30 | 2217           | SAN ANDRES TENEJAPAN                               | 301400001   |          |                                            |        0
        2219 |          30 | 2219           | SAN JUAN EVANGELISTA                               | 301420001   | 2595006  | SAN JUAN EVANGELISTA ANALCO                |        3
        2221 |          30 | 2221           | SANTIAGO SOCHIAPAN                                 | 302120001   |          |                                            |        0
        2223 |          30 | 2223           | SAYULA DE ALEMAN                                   | 301440001   |          |                                            |        0
        2231 |          30 | 2231           | TAMPICO ALTO                                       | 301520001   |          |                                            |        0
        2235 |          30 | 2235           | TATAHUICAPAN DE JUAREZ                             | 302090001   |          |                                            |        0
        2240 |          30 | 2240           | TEMPOAL                                            | 301610001   | 4262005  | TEMPOAL MUNICIPIO DE                       |        2
        2246 |          30 | 2246           | TEPETZINTLA                                        | 301670001   | 3169003  | TEPETZINTLA                                |        2
        2247 |          30 | 2247           | TEQUILA                                            | 301680001   | 1596003  | TEQUILA                                    |        2
        2252 |          30 | 2252           | TIERRA BLANCA                                      | 301740001   | 1284006  | TIERRA BLANCA                              |        2
        2258 |          30 | 2258           | TLACOTEPEC DE MEJIA                                | 301790001   |          |                                            |        0
        2259 |          30 | 2259           | TLALIXCOYAN                                        | 301810001   | 4282004  | TLALIXCOYAN MUNICIPIO DE                   |        2
        2261 |          30 | 2261           | TLALTETELA                                         | 300240001   |          |                                            |        0
        2263 |          30 | 2263           | TLAQUILPAN                                         | 301840001   |          |                                            |        0
        2265 |          30 | 2265           | TOMATLAN                                           | 301860001   | 1603004  | TOMATLAN                                   |        2
        2269 |          30 | 2269           | TUXPAM                                             | 301890001   |          |                                            |        0
        2271 |          30 | 2271           | URSULO GALVAN                                      | 301910001   | 4292008  | URSULO GALVAN MUNICIPIO DE                 |        2
        2272 |          30 | 2272           | UXPANAPA                                           | 302100001   |          |                                            |        0
        2273 |          30 | 2273           | VEGA DE ALATORRE                                   | 301920001   | 4293009  | VEGA DE ALATORRE MUNICIPIO DE              |        2
        2276 |          30 | 2276           | XALAPA                                             | 300870001   |          |                                            |        0
        2277 |          30 | 2277           | XICO                                               | 300920001   | 1001002  | CIUDAD DE MEXICO                           |        6
        2281 |          30 | 2281           | ZACUALPAN                                          | 301980001   | 1819007  | ZACUALPAN                                  |        4
        2282 |          30 | 2282           | ZARAGOZA                                           | 301990001   | 579009   | ZARAGOZA                                   |       17
        2285 |          30 | 2285           | ZONTECOMATLAN DE LOPEZ Y FUENTES                   | 302020001   |          |                                            |        0
        2286 |          30 | 2286           | ZOZOCOLCO DE HIDALGO                               | 302030001   |          |                                            |        0
        2304 |          31 | 2304           | CHICXULUB PUEBLO                                   | 310200001   |          |                                            |        0
        2317 |          31 | 2317           | DZONCAUICH                                         | 310310001   |          |                                            |        0
        2329 |          31 | 2329           | KAUA                                               | 310430001   |          |                                            |        0
        2338 |          31 | 2338           | MOTUL                                              | 310520001   | 4452006  | MOTUL DE FELIPE C. PUERTO                  |        1
        2345 |          31 | 2345           | PROGRESO                                           | 310590001   | 553006   | PROGRESO                                   |       11
        2350 |          31 | 2350           | SAN FELIPE                                         | 310650001   | 204555   | SAN FELIPE                                 |       13
        2377 |          31 | 2377           | TINUM                                              | 310910001   | 4491009  | TINUM MUNICIPIO DE                         |        2
        2380 |          31 | 2380           | TIXMEHUAC                                          | 310940001   |          |                                            |        0
        2381 |          31 | 2381           | TIXPEHUAL                                          | 310950001   |          |                                            |        0
        2390 |          31 | 2390           | YAXCABA                                            | 311040001   |          |                                            |        0
        2391 |          31 | 2391           | YAXKUKUL                                           | 311050001   |          |                                            |        0
        2396 |          32 | 2396           | BENITO JUAREZ                                      | 320040001   | 204159   | BENITO JUAREZ                              |       10
        2401 |          32 | 2401           | CUAUHTEMOC                                         | 320080001   | 611009   | CUAUHTEMOC MUNICIPIO DE                    |       10
        2402 |          32 | 2402           | EL PLATEADO DE JOAQUIN AMARO                       | 320150001   |          |                                            |        0
