 clasificacion | localidadcnbv |                localidad                | count |   sum   
 210101000000  | 2628009       | SAN LORENZO CACAOTEPEC                  |    42 |    9682
 211190000000  | 2628009       | SAN LORENZO CACAOTEPEC                  |     1 |    4077
 210101000000  | 2638002       | SAN MARCOS ARTEAGA                      |    66 |   13531
 210101000000  | 2640006       | SAN MARTIN HUAMELULPAN                  |   215 |  198229
 211190000000  | 2640006       | SAN MARTIN HUAMELULPAN                  |    24 |  757459
 210101000000  | 2644002       | SAN MARTIN TILCAJETE                    |     1 |      28
 210101000000  | 2645004       | SAN MARTIN TOXPALAN                     |     2 |     480
 211190000000  | 2649006       | SAN MATEO DEL MAR                       |     1 |    2474
 210101000000  | 2649006       | SAN MATEO DEL MAR                       |     1 |     892
 211190000000  | 2651001       | SAN MATEO ETLATONGO                     |    12 |  221535
 210101000000  | 2651001       | SAN MATEO ETLATONGO                     |    97 |  106154
 210101000000  | 2656005       | SAN MATEO SINDIHUI                      |    11 |    5433
 210101000000  | 2657004       | SAN MATEO TLAPILTEPEC                   |    14 |    2418
 211190000000  | 2657004       | SAN MATEO TLAPILTEPEC                   |     2 |   18149
 210101000000  | 2659002       | SAN MIGUEL ACHIUTLA                     |     3 |     581
 211190000000  | 2662005       | SAN MIGUEL AMATITLAN                    |     2 |    8320
 210101000000  | 2662005       | SAN MIGUEL AMATITLAN                    |    24 |    6353
 210101000000  | 2665002       | SAN MIGUEL CHICAHUA                     |   183 |   87358
 211190000000  | 2665002       | SAN MIGUEL CHICAHUA                     |    63 | 2133568
 210101000000  | 2670003       | SAN MIGUEL EL GRANDE                    |     1 |      56
 210101000000  | 2671002       | SAN MIGUEL HUAUTLA                      |    16 |   17493
 211190000000  | 2671002       | SAN MIGUEL HUAUTLA                      |     3 |   22713
 211190000000  | 2682009       | SAN MIGUEL TECOMATLAN                   |     4 |  183122
 210101000000  | 2682009       | SAN MIGUEL TECOMATLAN                   |    35 |   32777
 211190000000  | 2684004       | SAN MIGUEL TEQUISTEPEC                  |    20 |  399841
 210101000000  | 2684004       | SAN MIGUEL TEQUISTEPEC                  |   253 |   68832
 211190000000  | 2688003       | SAN MIGUEL TULANCINGO                   |     3 |   47703
 210101000000  | 2688003       | SAN MIGUEL TULANCINGO                   |    23 |    8515
 210101000000  | 2694006       | SAN PABLO ETLA                          |    61 |   30512
 211190000000  | 2694006       | SAN PABLO ETLA                          |     1 |   24083
 210101000000  | 2695008       | SAN PABLO HUITZO                        |    17 |    5090
 211190000000  | 2696004       | SAN PABLO HUIXTEPEC                     |     2 |  309724
 210101000000  | 2696004       | SAN PABLO HUIXTEPEC                     |    12 |   74238
 210101000000  | 2699001       | SAN PABLO VILLA DE MITLA                |    21 |    4204
 210101000000  | 2704002       | SAN PEDRO ATOYAC                        |    48 |    8260
 211190000000  | 2706003       | SAN PEDRO CANTAROS                      |     2 |   29406
 210101000000  | 2706003       | SAN PEDRO CANTAROS                      |    16 |    6164
 210101000000  | 2712006       | SAN PEDRO IXTLAHUACA                    |    24 |   11853
 211190000000  | 2712006       | SAN PEDRO IXTLAHUACA                    |     2 |    8171
 210101000000  | 2715003       | SAN PEDRO JOCOTIPAC                     |     1 |      31
 211190000000  | 2715003       | SAN PEDRO JOCOTIPAC                     |     1 |    1365
 210101000000  | 2719002       | SAN PEDRO MARTIR YUCUXACO               |   277 |   81141
 211190000000  | 2719002       | SAN PEDRO MARTIR YUCUXACO               |    24 |  452372
 210101000000  | 2730006       | SAN PEDRO TEOZACOALCO                   |     1 |     125
 211190000000  | 2732001       | SAN PEDRO TIDAA                         |     6 |  256214
 210101000000  | 2732001       | SAN PEDRO TIDAA                         |    31 |   69487
 210101000000  | 2733003       | SAN PEDRO TOPILTEPEC                    |    17 |    4653
 211190000000  | 2733003       | SAN PEDRO TOPILTEPEC                    |     5 |  140640
 210101000000  | 2738004       | SAN PEDRO Y SAN PABLO AYUTLA            |     6 |     651
 210101000000  | 2739734       | VILLA DE ETLA                           |    24 |    4865
 211190000000  | 2740008       | SAN PEDRO Y PABLO TEPOSCOLULA           |    78 | 1879065
 210101000000  | 2740008       | SAN PEDRO Y PABLO TEPOSCOLULA           |  1008 |  597105
 210101000000  | 2741004       | SAN PEDRO Y PABLO TEQUITEPEC            |   133 |   19443
 211190000000  | 2741004       | SAN PEDRO Y PABLO TEQUITEPEC            |     2 |    7404
 211190000000  | 2742003       | SAN PEDRO YUCUNAMA                      |     1 |    4090
 210101000000  | 2742003       | SAN PEDRO YUCUNAMA                      |    10 |    1288
 210101000000  | 2743005       | SAN RAYMUNDO JALPAN                     |     1 |       1
 210101000000  | 2747007       | SAN SEBASTIAN NICANANDUTA               |  1394 |  564028
 211190000000  | 2747007       | SAN SEBASTIAN NICANANDUTA               |   145 | 3574250
 211190000000  | 2750007       | SAN SEBASTIAN TEITIPAC                  |     1 |   10348
 210101000000  | 2750007       | SAN SEBASTIAN TEITIPAC                  |    19 |    4685
 211190000000  | 2751003       | SAN SEBASTIAN TUTLA                     |     4 |   16254
 210101000000  | 2751003       | SAN SEBASTIAN TUTLA                     |    47 |  183070
 210101000000  | 2760003       | SANTA ANA ZEGACHE                       |     4 |     338
 210101000000  | 2763009       | SANTA CATARINA IXTEPEJI                 |     2 |     300
 211190000000  | 2763009       | SANTA CATARINA IXTEPEJI                 |     1 |  125496
 210101000000  | 2768001       | SANTA CATARINA MINAS                    |     2 |       6
 210101000000  | 2770005       | SANTA CATARINA TAYATA                   |     8 |    2523
 211190000000  | 2775006       | SANTA CRUZ AMILPAS                      |     1 |    4115
 210101000000  | 2775006       | SANTA CRUZ AMILPAS                      |    33 |   28451
 210101000000  | 2781009       | SANTA CRUZ TACACHE DE MINA              |    57 |   11199
 210101000000  | 2783001       | SANTA CRUZ TAYATA                       |    58 |   47941
 211190000000  | 2783001       | SANTA CRUZ TAYATA                       |     5 |   48707
 210101000000  | 2785005       | SANTA CRUZ XOCOTLAN                     |   416 |  303162
 211190000000  | 2785005       | SANTA CRUZ XOCOTLAN                     |    61 |  711150
 211190000000  | 2790009       | SANTA LUCIA DEL CAMINO                  |    10 |   49936
 210101000000  | 2790009       | SANTA LUCIA DEL CAMINO                  |   109 |   29343
 210101000000  | 2795001       | SANTA MARIA APASCO                      |    38 |   40496
 211190000000  | 2795001       | SANTA MARIA APASCO                      |    11 |  269162
 211190000000  | 2797008       | SANTA MARIA ASUNCION TLAXIACO           |    11 |  131887
 210101000000  | 2797008       | SANTA MARIA ASUNCION TLAXIACO           |   378 |  173274
 211190000000  | 2801001       | SANTA MARIA AZOMPA                      |    14 |   65082
 210101000000  | 2801001       | SANTA MARIA AZOMPA                      |    90 |   46734
 210101000000  | 2802006       | SANTA MARIA CAMOTLAN                    |    33 |   11945
 211190000000  | 2802006       | SANTA MARIA CAMOTLAN                    |     2 |    4116
 210101000000  | 2805003       | SANTA MARIA COYOTEPEC                   |    18 |   11310
 211190000000  | 2806002       | SANTA MARIA CHACHOAPAN                  |    42 | 1701002
 210101000000  | 2806002       | SANTA MARIA CHACHOAPAN                  |   189 |  132713
 211190000000  | 2807004       | SANTA MARIA CHILAPA DE DIAZ             |     3 |   31647
 210101000000  | 2807004       | SANTA MARIA CHILAPA DE DIAZ             |    25 |    4450
 210101000000  | 2810004       | SANTA MARIA DEL ROSARIO                 |     2 |       2
 210101000000  | 2811006       | SANTA MARIA DEL TULE                    |    39 |   14423
 211190000000  | 2811006       | SANTA MARIA DEL TULE                    |     2 |   15109
 211190000000  | 2818005       | SANTA MARIA IXCATLAN                    |     1 |    4025
 210101000000  | 2818005       | SANTA MARIA IXCATLAN                    |    11 |    1262
 210101000000  | 2820006       | SANTA MARIA JALAPA DE MARQUES           |     3 |     643
 211190000000  | 2824005       | SANTA MARIA NATIVITAS                   |     8 |   87388
 210101000000  | 2824005       | SANTA MARIA NATIVITAS                   |    87 |   64065
 211190000000  | 2825001       | SANTA MARIA NDUAYACO                    |    18 |  844060
 210101000000  | 2825001       | SANTA MARIA NDUAYACO                    |   159 |   84096
 210101000000  | 2833002       | SANTA MARIA TECOMAYACA                  |    95 |   26007
 210101000000  | 2841003       | SANTA MARIA TONAMECA                    |     6 |    1570
 210101000000  | 2853009       | SANTIAGO APOALA                         |     9 |    2560
 210101000000  | 2857008       | SANTIAGO AYUQUILILLA                    |    72 |   14285
 210101000000  | 2861004       | SANTIAGO CHAZUMBA                       |    84 |   25545
 211190000000  | 2861004       | SANTIAGO CHAZUMBA                       |     2 |    7902
 211190000000  | 2864001       | SANTIAGO HUAJOLOTITLAN                  |     6 |   52982
 210101000000  | 2864001       | SANTIAGO HUAJOLOTITLAN                  |    94 |   20578
 211190000000  | 2865006       | SANTIAGO HUAUCLILLA                     |     5 |  107923
 210101000000  | 2865006       | SANTIAGO HUAUCLILLA                     |    20 |   53211
 211190000000  | 2866005       | SANTIAGO IGUITLAN PLUMAS                |    12 |  248590
 210101000000  | 2866005       | SANTIAGO IGUITLAN PLUMAS                |   175 |  109655
 210101000000  | 2871009       | SANTIAGO JUXTLAHUACA                    |     1 |     209
 210101000000  | 2877003       | SANTIAGO MATATLAN                       |     4 |     376
 211190000000  | 2878008       | SANTIAGO MILTEPEC                       |     2 |   64045
 210101000000  | 2878008       | SANTIAGO MILTEPEC                       |    43 |   10225
 210101000000  | 2881002       | SANTIAGO NEJAPILLA                      |     1 |     298
 210101000000  | 2884008       | SANTIAGO PINOTEPA NACIONAL              |    12 |    1365
 210101000000  | 2885004       | SANTIAGO SUCHILQUITONGO                 |    32 |    4065
 211190000000  | 2885004       | SANTIAGO SUCHILQUITONGO                 |     1 |    4022
 210101000000  | 2886003       | SANTIAGO TAMAZOLA                       |    99 |    7176
 210101000000  | 2888001       | SANTIAGO TEJUPAN                        |   220 |   62989
 211190000000  | 2888001       | SANTIAGO TEJUPAN                        |     8 |   81827
 210101000000  | 2889009       | SANTIAGO TENANGO                        |     2 |     107
 210101000000  | 2890008       | SANTIAGO TEPETLAPA                      |     1 |       5
 211190000000  | 2890008       | SANTIAGO TEPETLAPA                      |     1 |   95065
 211190000000  | 2894007       | SANTIAGO TILANTONGO                     |     8 |  302839
 210101000000  | 2894007       | SANTIAGO TILANTONGO                     |   111 |   53726
 211190000000  | 2895003       | SANTIAGO TILLO                          |     5 |  165883
 210101000000  | 2895003       | SANTIAGO TILLO                          |    73 |   28326
 210101000000  | 2902008       | SANTIAGO YOLOMECATL                     |  2000 | 2051595
 211190000000  | 2902008       | SANTIAGO YOLOMECATL                     |   177 | 8248155
 210101000000  | 2907009       | SANTIAGO ZOQUIAPAN                      |     1 |     200
 210101000000  | 2910006       | SANTO DOMINGO ARMENTA                   |   136 |       7
 210101000000  | 2914002       | SANTO DOMINGO NUXAA                     |    40 |   14463
 211190000000  | 2914002       | SANTO DOMINGO NUXAA                     |     2 |    8200
 210101000000  | 2921001       | SANTO DOMINGO TLATAYAPAN                |     8 |    1474
 210101000000  | 2922003       | SANTO DOMINGO TOMALTEPEC                |     3 |       6
 210101000000  | 2923008       | SANTO DOMINGO TONALA                    |    85 |   70633
 210101000000  | 2924007       | SANTO DOMINGO TONALTEPEC                |     2 |     284
 211190000000  | 2926005       | SANTO DOMINGO YANHUITLAN                |    20 |  584555
 210101000000  | 2926005       | SANTO DOMINGO YANHUITLAN                |   151 |  147167
 210101000000  | 2930004       | SANTOS REYES PAPALO                     |    40 |    8657
 211190000000  | 2930004       | SANTOS REYES PAPALO                     |     7 |   93062
 210101000000  | 2931003       | SANTOS REYES TEPEJILLO                  |     1 |     200
 211190000000  | 2932005       | SANTOS REYES YUCUNA                     |     1 |    4158
 210101000000  | 2933001       | SANTO TOMAS JALIEZA                     |     5 |     611
 210101000000  | 2934009       | SANTO TOMAS MAZALTEPEC                  |    14 |    7297
 210101000000  | 2935002       | SANTO TOMAS OCOTEPEC                    |     1 |     249
 210101000000  | 2937006       | SAN VICENTE COATLAN                     |     1 |      12
 210101000000  | 2939004       | SAN VICENTE NUÑO                        |    19 |    2854
