 precorteid | tablareservaid | prestamoid | ejercicio | periodo | fechacierre | diasvencidos | porcentajeaplicado | factoraplicado | saldoprestamo | reservacalculada | interesdevengadomenoravencido | interesdevengadomayoravencido | pagocapitalenperiodo | pagointeresenperiodo | pagomoratorioenperiodo | bonificacionintenperiodo | bonificacionmorenperiodo | noamorvencidas | saldovencidomenoravencido | saldovencidomayoravencido | fechaultamorpagada | tipoprestamoid | montoprestamo | clavefinalidad | tasanormal | tasa_moratoria | ultimoabono | diastraspasoavencida | fecha_vencimiento | ultimoabonointeres | interesdevmormenor | interesdevmormayor | saldopromedio | dias_de_cobro | meses_de_cobro | depositogarantia | pagosvencidos | finalidaddefault |  saldopromediodelmes   | interesdevengadomes | primerincumplimiento | diasinteres | diascapital | reservaidnc | frecuencia | fecha_otorga | estatusvive | zonamarginada | importeultimaamort | importevencidoamort | tipocartera 
    2344740 |                |       6633 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |             12999.36 |                77.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-19         | N4             |  30000.000000 | 002            |      23.64 |          35.46 | 2013-12-03  |                   89 | 2014-12-18        | 2013-12-03         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  6499.6800000000000000 |              -51.00 | 2014-01-18           |           0 |           0 |        0.00 |         30 | 2012-06-22   |           3 |               |               1000 |                   0 | 
    2347034 |                |       8950 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |  15000.000000 |     150.00000000 |                        321.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |              15000.000000 |                         0 | 2013-12-08         | N1             |  15000.000000 | 002            |      33.48 |          50.22 | 2013-12-08  |                   89 | 2015-12-06        | 2013-12-08         |                  0 |                  0 |               |            30 |              0 |             2250 |             0 | 002              |           15000.000000 |              321.00 | 2014-01-07           |           0 |           0 |      3.2100 |         30 | 2013-12-08   |           3 |               |                625 |                   0 | 
    2346777 |                |       8693 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-10-04         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-10-04  |                   89 | 2014-02-02        | 2013-10-04         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-02-02           |           0 |           0 |      0.0000 |        121 | 2013-10-04   |           3 |               |        4000.000000 |                   0 | 
    2346632 |                |       8547 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              4000.00 |                    0 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-22         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-12-22  |                   89 | 2013-12-22        | 2013-12-22         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  2000.0000000000000000 |                0.00 | 2014-04-21           |           0 |           0 |        0.00 |        120 | 2013-08-23   |           3 |               |        4000.000000 |            0.000000 | 
    2346957 |                |       8873 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-11-24         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-11-24  |                   89 | 2014-03-24        | 2013-11-24         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-03-24           |           0 |           0 |      0.0000 |        120 | 2013-11-24   |           3 |               |        4000.000000 |                   0 | 
    2344979 |                |       6880 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              2201.96 |                64.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-13         | N4             |  25000.000000 | 002            |      26.76 |          40.14 | 2013-12-23  |                   89 | 2014-08-12        | 2013-12-23         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  1100.9800000000000000 |              -43.00 | 2014-01-12           |           0 |           0 |        0.00 |         30 | 2012-08-15   |           3 |               |               1041 |                   0 | 
    2346656 |                |       8571 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              4000.00 |                    0 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-27         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-12-27  |                   89 | 2013-12-27        | 2013-12-27         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  2000.0000000000000000 |                0.00 | 2014-04-26           |           0 |           0 |        0.00 |        120 | 2013-08-29   |           3 |               |        4000.000000 |            0.000000 | 
    2346659 |                |       8574 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              4000.00 |                    0 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-29         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-12-29  |                   89 | 2013-12-29        | 2013-12-29         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  2000.0000000000000000 |                0.00 | 2014-04-28           |           0 |           0 |        0.00 |        120 | 2013-08-30   |           3 |               |        4000.000000 |            0.000000 | 
    2344980 |                |       6881 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              1758.60 |                88.00 |                   3.00 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-13         | N1             |  11000.000000 | 002            |      39.36 |          59.04 | 2013-12-16  |                   89 | 2014-02-11        | 2013-12-16         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |   879.3000000000000000 |              -58.00 | 2014-01-12           |           0 |           0 |        0.00 |         30 | 2012-08-15   |           3 |               |                611 |                   0 | 
    2344988 |                |       6889 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              3336.88 |               161.00 |                  24.00 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-15         | N1             |  15000.000000 | 002            |      33.48 |          50.22 | 2013-12-05  |                   89 | 2014-02-13        | 2013-12-05         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  1668.4400000000000000 |             -146.00 | 2014-01-14           |           0 |           0 |        0.00 |         30 | 2012-08-16   |           3 |               |                833 |                   0 | 
    2347035 |                |       8951 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   5000.000000 |      50.00000000 |                         92.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               5000.000000 |                         0 | 2013-12-08         | N13            |   5000.000000 | 002            |      28.92 |          43.38 | 2013-12-08  |                   89 | 2014-10-07        | 2013-12-08         |                  0 |                  0 |               |            30 |              0 |              500 |             0 | 002              |            5000.000000 |               92.00 | 2014-01-07           |           0 |           0 |      0.9200 |         30 | 2013-12-08   |           3 |               |                500 |                   0 | 
    2346807 |                |       8723 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-10-13         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-10-13  |                   89 | 2014-02-10        | 2013-10-13         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-02-10           |           0 |           0 |      0.0000 |        120 | 2013-10-13   |           3 |               |        4000.000000 |                   0 | 
    2345020 |                |       6921 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              2504.88 |                37.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-19         | N1             |  15000.000000 | 002            |      31.44 |          47.16 | 2013-12-09  |                   89 | 2014-02-18        | 2013-12-09         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  1252.4400000000000000 |              -18.00 | 2014-01-18           |           0 |           0 |        0.00 |         30 | 2012-08-22   |           3 |               |                833 |                   0 | 
    2345038 |                |       6939 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              3338.00 |               100.00 |                   3.00 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-29         | N1             |  15000.000000 | 002            |      31.44 |          47.16 | 2013-12-08  |                   89 | 2014-02-27        | 2013-12-08         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  1669.0000000000000000 |              -87.00 | 2014-01-28           |           0 |           0 |        0.00 |         30 | 2012-08-28   |           3 |               |                833 |                   0 | 
    2347036 |                |       8952 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |  16000.000000 |     160.00000000 |                        321.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |              16000.000000 |                         0 | 2013-12-08         | N4             |  16000.000000 | 002            |      31.44 |          47.16 | 2013-12-08  |                   89 | 2015-06-07        | 2013-12-08         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |           16000.000000 |              321.00 | 2014-01-07           |           0 |           0 |      3.2100 |         30 | 2013-12-08   |           3 |               |                888 |                   0 | 
    2345081 |                |       6984 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              5629.60 |                34.00 |                  12.00 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-05         | N1             |  15000.000000 | 002            |      31.44 |          47.16 | 2013-12-10  |                   89 | 2014-03-06        | 2013-12-10         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  2814.8000000000000000 |                   0 | 2014-01-04           |           0 |           0 |        0.00 |         30 | 2012-09-07   |           3 |               |                833 |                   0 | 
    2345145 |                |       7050 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              3315.36 |                86.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-24         | N1             |  15000.000000 | 002            |      33.48 |          50.22 | 2013-12-17  |                   89 | 2014-03-25        | 2013-12-17         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  1657.6800000000000000 |              -34.00 | 2014-01-23           |           0 |           0 |        0.00 |         30 | 2012-09-25   |           3 |               |                833 |                   0 | 
    2347041 |                |       8957 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |  25000.000000 |     250.00000000 |                        480.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |              25000.000000 |                         0 | 2013-12-09         | N1             |  25000.000000 | 002            |      31.44 |          47.16 | 2013-12-09  |                   89 | 2015-12-06        | 2013-12-09         |                  0 |                  0 |               |            30 |              0 |             5000 |             0 | 002              |           25000.000000 |              480.00 | 2014-01-08           |           0 |           0 |      4.8000 |         30 | 2013-12-09   |           3 |               |               1041 |                   0 | 
    2346577 |                |       8492 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   3300.920000 |      33.00920000 |                         73.00 |                             0 |               451.08 |                62.00 |                      0 |                        0 |                        0 |              0 |               3300.920000 |                         0 | 2013-12-13         | N4             |   5000.000000 | 002            |      28.32 |          42.48 | 2013-12-03  |                   89 | 2014-08-12        | 2013-12-03         |                  0 |                  0 |               |            30 |              0 |              500 |             0 | 002              |  3526.4600000000000000 |               20.00 | 2014-01-12           |           0 |           0 |      0.7300 |         30 | 2013-08-13   |           3 |               |                416 |                   0 | 
    2345216 |                |       7121 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |               832.88 |               116.00 |                  16.00 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-10         | N1             |  15000.000000 | 002            |      33.48 |          50.22 | 2013-12-24  |                   89 | 2014-04-10        | 2013-12-24         |                  0 |                  0 |               |            30 |              0 |             2250 |             0 | 002              |  2085.0400000000000000 |              -23.00 | 2014-01-09           |           0 |           0 |        0.00 |         30 | 2012-10-12   |           3 |               |                833 |                   0 | 
    2346879 |                |       8795 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   4000.000000 |      40.00000000 |                          0.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               4000.000000 |                         0 | 2013-10-28         | P4             |   4000.000000 | 002            |          0 |              0 | 2013-10-28  |                   89 | 2014-02-25        | 2013-10-28         |                  0 |                  0 |               |           120 |              0 |                0 |             0 | 002              |  4000.0000000000000000 |                0.00 | 2014-02-25           |           0 |           0 |      0.0000 |        120 | 2013-10-28   |           3 |               |        4000.000000 |                   0 | 
    2346739 |                |       8654 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   3333.120000 |      33.33120000 |                         76.00 |                             0 |               333.64 |                96.00 |                      0 |                        0 |                        0 |              0 |               3333.120000 |                         0 | 2013-12-05         | N4             |   4000.000000 | 002            |      31.44 |          47.16 | 2013-12-05  |                   89 | 2014-10-05        | 2013-12-05         |                  0 |                  0 |               |             0 |              1 |                0 |             0 | 002              |  3499.9400000000000000 |               -4.00 | 2014-01-04           |           0 |           0 |      0.7600 |         30 | 2013-09-27   |           3 |               |                333 |                   0 | 
    2346793 |                |       8709 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |   1497.840000 |      14.97840000 |                         97.00 |                             0 |                    0 |                    0 |                      0 |                        0 |                        0 |              0 |               1497.840000 |                         0 | 2013-12-10         | N4             |   3500.000000 | 002            |      31.44 |          47.16 | 2013-10-18  |                   89 | 2014-08-10        | 2013-10-18         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |  1497.8400000000000000 |               41.00 | 2014-01-09           |          23 |           0 |      0.9700 |         30 | 2013-10-10   |           3 |               |                350 |                   0 | 
    2346243 |                |       8156 |      2013 |      12 | 2013-12-31  |            0 |               0.01 |              1 |             0 |             0.00 |                             0 |                             0 |              1799.24 |                31.00 |                      0 |                        0 |                        0 |              0 |                         0 |                         0 | 2013-12-24         | N4             |   4500.000000 | 002            |      28.32 |          42.48 | 2013-12-17  |                   89 | 2014-03-25        | 2013-12-17         |                  0 |                  0 |               |            30 |              0 |                0 |             0 | 002              |   899.6200000000000000 |               -7.00 | 2014-01-23           |           0 |           0 |        0.00 |         30 | 2013-05-27   |           3 |               |                450 |                   0 | 
