?column?, precorteid , tablareservaid , prestamoid , ejercicio , periodo , fechacierre , diasvencidos , porcentajeaplicado , factoraplicado , saldoprestamo , reservacalculada , interesdevengadomenoravencido , interesdevengadomayoravencido , pagocapitalenperiodo , pagointeresenperiodo , pagomoratorioenperiodo , bonificacionintenperiodo , bonificacionmorenperiodo , noamorvencidas , saldovencidomenoravencido , saldovencidomayoravencido , fechaultamorpagada , tipoprestamoid , montoprestamo , clavefinalidad , tasanormal , tasa_moratoria , ultimoabono , diastraspasoavencida ,,,, fecha_vencimiento , ultimoabonointeres , interesdevmormenor , interesdevmormayor , saldopromedio , dias_de_cobro , meses_de_cobro , depositogarantia , pagosvencidos , finalidaddefault ,  saldopromediodelmes   , interesdevengadomes , primerincumplimiento , diasinteres , diascapital , reservaidnc , frecuencia , fecha_otorga , estatusvive , zonamarginada , importeultimaamort , importevencidoamort , tipocartera 
006520-,2345081,                ,6984,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,5629.6,34,12,0,0,0,0,0, 2013-12-05         , N1             ,15000,2,31.44,47.16, 2013-12-10  ,89,,,, 2014-03-06        , 2013-12-10         ,0,0,               ,30,0,0,0,2,2814.8,0, 2014-01-04           ,0,0,0,30, 2012-09-07   ,3,               ,833,0, 
006584-,2345145,                ,7050,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,3315.36,86,0,0,0,0,0,0, 2013-12-24         , N1             ,15000,2,33.48,50.22, 2013-12-17  ,89,,,, 2014-03-25        , 2013-12-17         ,0,0,               ,30,0,0,0,2,1657.68,-34, 2014-01-23           ,0,0,0,30, 2012-09-25   ,3,               ,833,0, 
008484-,2347041,                ,8957,2013,12, 2013-12-31  ,0,0.01,1,25000,250,480,0,0,0,0,0,0,0,25000,0, 2013-12-09         , N1             ,25000,2,31.44,47.16, 2013-12-09  ,89,,,, 2015-12-06        , 2013-12-09         ,0,0,               ,30,0,5000,0,2,25000,480, 2014-01-08           ,0,0,4.8,30, 2013-12-09   ,3,               ,1041,0, 
008020-,2346577,                ,8492,2013,12, 2013-12-31  ,0,0.01,1,3300.92,33.0092,73,0,451.08,62,0,0,0,0,3300.92,0, 2013-12-13         , N4             ,5000,2,28.32,42.48, 2013-12-03  ,89,,,, 2014-08-12        , 2013-12-03         ,0,0,               ,30,0,500,0,2,3526.46,20, 2014-01-12           ,0,0,0.73,30, 2013-08-13   ,3,               ,416,0, 
006655-,2345216,                ,7121,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,832.88,116,16,0,0,0,0,0, 2013-12-10         , N1             ,15000,2,33.48,50.22, 2013-12-24  ,89,,,, 2014-04-10        , 2013-12-24         ,0,0,               ,30,0,2250,0,2,2085.04,-23, 2014-01-09           ,0,0,0,30, 2012-10-12   ,3,               ,833,0, 
008322-,2346879,                ,8795,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-10-28         , P4             ,4000,2,0,0, 2013-10-28  ,89,,,, 2014-02-25        , 2013-10-28         ,0,0,               ,120,0,0,0,2,4000,0, 2014-02-25           ,0,0,0,120, 2013-10-28   ,3,               ,4000,0, 
008182-,2346739,                ,8654,2013,12, 2013-12-31  ,0,0.01,1,3333.12,33.3312,76,0,333.64,96,0,0,0,0,3333.12,0, 2013-12-05         , N4             ,4000,2,31.44,47.16, 2013-12-05  ,89,,,, 2014-10-05        , 2013-12-05         ,0,0,               ,0,1,0,0,2,3499.94,-4, 2014-01-04           ,0,0,0.76,30, 2013-09-27   ,3,               ,333,0, 
008236-,2346793,                ,8709,2013,12, 2013-12-31  ,0,0.01,1,1497.84,14.9784,97,0,0,0,0,0,0,0,1497.84,0, 2013-12-10         , N4             ,3500,2,31.44,47.16, 2013-10-18  ,89,,,, 2014-08-10        , 2013-10-18         ,0,0,               ,30,0,0,0,2,1497.84,41, 2014-01-09           ,23,0,0.97,30, 2013-10-10   ,3,               ,350,0, 
007685-,2346243,                ,8156,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,1799.24,31,0,0,0,0,0,0, 2013-12-24         , N4             ,4500,2,28.32,42.48, 2013-12-17  ,89,,,, 2014-03-25        , 2013-12-17         ,0,0,               ,30,0,0,0,2,899.62,-7, 2014-01-23           ,0,0,0,30, 2013-05-27   ,3,               ,450,0, 
008482-,2347039,                ,8955,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-12-09         , P4             ,4000,2,0,0, 2013-12-09  ,89,,,, 2014-04-08        , 2013-12-09         ,0,0,               ,120,0,0,0,2,4000,0, 2014-04-08           ,0,0,0,120, 2013-12-09   ,3,               ,4000,0, 
007948-,2346505,                ,8420,2013,12, 2013-12-31  ,0,0.01,1,59858.44,598.5844,902,0,0,0,0,0,0,0,59858.44,0, 2013-12-01         , N16            ,72000,2,15.96,23.94, 2013-11-27  ,89,902,902,0, 2016-07-13        , 2013-11-27         ,0,0,               ,30,0,79200,0,2,59858.44,822, 2013-12-31           ,0,0,9.02,30, 2013-07-29   ,3,               ,2000,0, 
008287-,2346844,                ,8760,2013,12, 2013-12-31  ,0,0.01,1,6999.22,69.9922,155,0,1554.6,347.76,0,0,0,0,6999.22,0, 2013-12-17         , N5             ,10000,2,56.88,64.62, 2013-12-17  ,89,,,, 2014-04-10        , 2013-12-17         ,0,0,               ,14,0,0,0,2,7776.52,20, 2013-12-31           ,0,0,1.55,14, 2013-10-21   ,3,               ,778.76,0, 
007692-,2346250,                ,8163,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,3781.88,78,0,0,0,0,0,0, 2013-12-05         , N4             ,25000,2,21.12,31.68, 2013-12-19  ,89,,,, 2014-06-05        , 2013-12-19         ,0,0,               ,30,0,0,0,2,1890.94,-40, 2014-01-04           ,0,0,0,30, 2013-05-30   ,3,               ,2083,0, 
007940-,2346497,                ,8412,2013,12, 2013-12-31  ,0,0.01,1,0,0,0,0,2203.48,4,0,0,0,0,0,0, 2013-12-24         , N1             ,14000,2,35.4,53.1, 2013-12-01  ,89,,,, 2015-07-23        , 2013-12-01         ,0,0,               ,30,0,0,0,2,1101.74,-2, 2014-01-23           ,0,0,0,30, 2013-07-26   ,3,               ,583,0, 
008196-,2346753,                ,8668,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-09-29         , P4             ,4000,2,0,0, 2013-09-29  ,89,,,, 2014-01-27        , 2013-09-29         ,0,0,               ,120,0,0,0,2,4000,0, 2014-01-27           ,0,0,0,120, 2013-09-29   ,3,               ,4000,0, 
008501-,2347058,                ,8974,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-12-11         , P4             ,4000,2,0,0, 2013-12-11  ,89,,,, 2014-04-10        , 2013-12-11         ,0,0,               ,120,0,0,0,2,4000,0, 2014-04-10           ,0,0,0,120, 2013-12-11   ,3,               ,4000,0, 
008089-,2346646,                ,8561,2013,12, 2013-12-31  ,0,0.01,1,1947.48,19.4748,3,0,1030.7,131.78,9,0,0,0,1947.48,0, 2013-12-27         , N5             ,6000,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,2462.83,-2, 2014-01-03           ,0,0,0.03,7, 2013-08-29   ,3,               ,263.66,0, 
008090-,2346647,                ,8562,2013,12, 2013-12-31  ,0,0.01,1,4038.91,40.3891,6,0,2097.57,270.58,16,0,0,0,4038.91,0, 2013-12-27         , N5             ,12500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,5087.695,-4, 2014-01-03           ,0,0,0.06,7, 2013-08-29   ,3,               ,549.3,0, 
008091-,2346648,                ,8563,2013,12, 2013-12-31  ,0,0.01,1,1647.93,16.4793,3,0,1050.72,118.97,8,0,0,0,1647.93,0, 2013-12-27         , N5             ,5500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,2173.29,-1, 2014-01-03           ,0,0,0.03,7, 2013-08-29   ,3,               ,241.69,0, 
008533-,2347090,                ,9006,2013,12, 2013-12-31  ,0,0.01,1,4000,40,0,0,0,0,0,0,0,0,4000,0, 2013-12-22         , P4             ,4000,2,0,0, 2013-12-22  ,89,,,, 2014-04-21        , 2013-12-22         ,0,0,               ,120,0,0,0,2,4000,0, 2014-04-21           ,0,0,0,120, 2013-12-22   ,3,               ,4000,0, 
008092-,2346649,                ,8564,2013,12, 2013-12-31  ,0,0.01,1,3390.97,33.9097,5,0,1760.39,227.18,13,0,0,0,3390.97,0, 2013-12-27         , N5             ,10500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,4271.165,-3, 2014-01-03           ,0,0,0.05,7, 2013-08-29   ,3,               ,461.42,0, 
008093-,2346650,                ,8565,2013,12, 2013-12-31  ,0,0.01,1,4038.91,40.3891,6,0,2097.57,270.58,16,0,0,0,4038.91,0, 2013-12-27         , N5             ,12500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,5087.695,-4, 2014-01-03           ,0,0,0.06,7, 2013-08-29   ,3,               ,549.3,0, 
008094-,2346651,                ,8566,2013,12, 2013-12-31  ,0,0.01,1,2098.57,20.9857,3,0,1127.94,142.78,9,0,0,0,2098.57,0, 2013-12-27         , N5             ,6500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,2662.54,-2, 2014-01-03           ,0,0,0.03,7, 2013-08-29   ,3,               ,285.65,0, 
008095-,2346652,                ,8567,2013,12, 2013-12-31  ,0,0.01,1,1784.42,17.8442,3,0,914.23,122.42,11,0,0,0,1784.42,0, 2013-12-27         , N5             ,5500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,2241.535,-1, 2014-01-03           ,0,0,0.03,7, 2013-08-29   ,3,               ,241.69,0, 
008096-,2346653,                ,8568,2013,12, 2013-12-31  ,0,0.01,1,1785.61,17.8561,3,0,913.04,122.58,11,0,0,0,1785.61,0, 2013-12-27         , N5             ,5500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,2242.13,-1, 2014-01-03           ,0,0,0.03,7, 2013-08-29   ,3,               ,241.69,0, 
008097-,2346654,                ,8569,2013,12, 2013-12-31  ,0,0.01,1,1648.49,16.4849,3,0,1050.16,118.44,9,0,0,0,1648.49,0, 2013-12-27         , N5             ,5500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,2173.57,-1, 2014-01-03           ,0,0,0.03,7, 2013-08-29   ,3,               ,241.69,0, 
008098-,2346655,                ,8570,2013,12, 2013-12-31  ,0,0.01,1,2110.19,21.1019,3,0,1115.23,143.25,10,0,0,0,2110.19,0, 2013-12-27         , N5             ,6500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-14        , 2013-12-30         ,0,0,               ,7,0,0,0,2,2667.805,-2, 2014-01-03           ,0,0,0.03,7, 2013-08-29   ,3,               ,285.65,0, 
008142-,2346699,                ,8614,2013,12, 2013-12-31  ,0,0.01,1,4886.1,48.861,8,0,1993.66,296.57,2,0,0,0,4886.1,0, 2013-12-27         , N5             ,12000,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-28        , 2013-12-30         ,0,0,               ,7,0,0,0,2,5882.93,-3, 2014-01-03           ,0,0,0.08,7, 2013-09-13   ,3,               ,514.19,0, 
008143-,2346700,                ,8615,2013,12, 2013-12-31  ,0,0.01,1,3971.29,39.7129,6,0,1697.53,243.37,1,0,0,0,3971.29,0, 2013-12-27         , N5             ,10000,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-28        , 2013-12-30         ,0,0,               ,7,0,0,0,2,4820.055,-3, 2014-01-03           ,0,0,0.06,7, 2013-09-13   ,3,               ,428.49,0, 
008144-,2346701,                ,8616,2013,12, 2013-12-31  ,0,0.01,1,2848.7,28.487,5,0,1166.17,172.99,1,0,0,0,2848.7,0, 2013-12-27         , N5             ,7000,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-28        , 2013-12-30         ,0,0,               ,7,0,0,0,2,3431.785,-1, 2014-01-03           ,0,0,0.05,7, 2013-09-13   ,3,               ,299.93,0, 
008147-,2346704,                ,8619,2013,12, 2013-12-31  ,0,0.01,1,5093.1,50.931,8,0,2076.16,309.07,2,0,0,0,5093.1,0, 2013-12-27         , N5             ,12500,2,56.88,64.62, 2013-12-30  ,21,,,, 2014-02-28        , 2013-12-30         ,0,0,               ,7,0,0,0,2,6131.18,-3, 2014-01-03           ,0,0,0.08,7, 2013-09-13   ,3,               ,535.61,0, 
